show_id,type,genre
s2966,TV Show,Romantic TV Shows
s2966,TV Show,TV Dramas
s2967,Movie,Dramas
s2967,Movie,International Movies
s2968,Movie,Dramas
s2968,Movie,International Movies
s2969,Movie,International Movies
s2969,Movie,Sci-Fi & Fantasy
s2969,Movie,Thrillers
s2970,Movie,Action & Adventure
s2970,Movie,Dramas
s2971,TV Show,International TV Shows
s2971,TV Show,TV Dramas
s2972,TV Show,Crime TV Shows
s2972,TV Show,TV Dramas
s2973,Movie,Horror Movies
s2973,Movie,International Movies
s2973,Movie,Thrillers
s2974,Movie,Dramas
s2974,Movie,International Movies
s2974,Movie,Thrillers
s2975,Movie,Dramas
s2975,Movie,Sci-Fi & Fantasy
s2975,Movie,Thrillers
s2976,Movie,Horror Movies
s2976,Movie,Thrillers
s2977,Movie,Anime Features
s2977,Movie,Children & Family Movies
s2977,Movie,International Movies
s2978,TV Show,International TV Shows
s2978,TV Show,Romantic TV Shows
s2978,TV Show,TV Comedies
s2979,Movie,Horror Movies
s2979,Movie,Thrillers
s2980,Movie,Action & Adventure
s2980,Movie,Sci-Fi & Fantasy
s2980,Movie,Thrillers
s2981,Movie,Dramas
s2981,Movie,International Movies
s2981,Movie,Romantic Movies
s2982,Movie,Action & Adventure
s2982,Movie,Sci-Fi & Fantasy
s2983,Movie,Dramas
s2983,Movie,International Movies
s2983,Movie,Romantic Movies
s2984,Movie,Thrillers
s2985,Movie,Documentaries
s2986,Movie,Children & Family Movies
s2986,Movie,Comedies
s2987,Movie,Dramas
s2987,Movie,Independent Movies
s2987,Movie,International Movies
s2988,TV Show,British TV Shows
s2988,TV Show,Docuseries
s2988,TV Show,Science & Nature TV
s2989,Movie,Dramas
s2989,Movie,Independent Movies
s2989,Movie,Sports Movies
s2990,TV Show,Reality TV
s2990,TV Show,Romantic TV Shows
s2991,Movie,Action & Adventure
s2991,Movie,Children & Family Movies
s2991,Movie,Sci-Fi & Fantasy
s2992,Movie,Action & Adventure
s2992,Movie,Children & Family Movies
s2992,Movie,Classic Movies
s2993,Movie,Action & Adventure
s2993,Movie,Children & Family Movies
s2993,Movie,Classic Movies
s2994,Movie,Action & Adventure
s2994,Movie,Children & Family Movies
s2994,Movie,Classic Movies
s2995,Movie,Dramas
s2995,Movie,Thrillers
s2996,Movie,Documentaries
s2997,Movie,Documentaries
s2997,Movie,International Movies
s2998,Movie,Action & Adventure
s2999,TV Show,Crime TV Shows
s2999,TV Show,International TV Shows
s2999,TV Show,Spanish-Language TV Shows
s3000,TV Show,Anime Series
s3000,TV Show,Crime TV Shows
s3000,TV Show,International TV Shows
s3001,TV Show,International TV Shows
s3001,TV Show,Korean TV Shows
s3001,TV Show,Romantic TV Shows
s3002,Movie,Horror Movies
s3002,Movie,International Movies
s3002,Movie,Romantic Movies
s3003,TV Show,Crime TV Shows
s3003,TV Show,International TV Shows
s3003,TV Show,TV Dramas
s3004,Movie,Action & Adventure
s3004,Movie,International Movies
s3005,TV Show,Reality TV
s3006,Movie,Dramas
s3006,Movie,International Movies
s3006,Movie,Romantic Movies
s3007,Movie,Action & Adventure
s3007,Movie,Children & Family Movies
s3007,Movie,Sci-Fi & Fantasy
s3008,TV Show,International TV Shows
s3008,TV Show,TV Comedies
